"Titre du cube";"Numéro d'identification du produit";"Numéro d'identification de CANSIM";URL;"Notes sur le cube";"État de l'archivage";Fréquence;"Début de la période de référence";"Fin de la période de référence";"Nombre total de dimensions";Univers;"Liste de variables"
"Indice des prix de la construction dans les services d'électricité";18100047;"327-0011";"https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1810004701";"1,2,4,5";"ACTIF - un cube qui est disponible au public et qui est toujours mise a jour";Annuelle;"1956-01-01";"2014-01-01";2;;

"Numéro d'identification de la dimension";"Nom de la dimension";"Notes sur la dimension";"Notes de correction sur la dimension";"Définitions de la dimension"
1;Géographie;;;
2;"Indice de prix, composants";;;

"Numéro d'identification de la dimension";"Nom du membre";"Code sur la classification";"Numéro d'identification du membre";"Numéro d'identification du membre parent";Terminé;"Notes sur le membre";"Notes de correction sur le membre";"Member Geo Attribute Keys";"Définitions du membre"
"Code du sujet";"Nom du sujet"
"18";"Prix et indices des prix"

"Numéro d'identification de la note";Note
1;"Cet indice mesure la variation de prix pour la construction de deux modèles distincts de services d'électricité."
2;"Pour plus d'information sur ce tableau, voir « Enquête/programme : Indice des prix à la construction dans les services d'électricité, 1992=100 - 2316 » dans CANSIM, page d'accueil du tableau 327-0011."
4;"Les estimations de l'année en cours sont provisoires et sujettes à révisions."
5;"Suite à la diffusion des données pour l'année de référence de 2014, l'Indice des prix de la construction dans les services d'électricité (IPCSE) sera suspendu. Le programme sera révisé afin de s'assurer que les prochains modèles tiennent compte des pratiques actuelles de la construction. Pour plus d'information ou pour participer aux consultations des utilisateurs, veuillez communiquer avec nous sans frais au 1-800-263-1136 ou 514-283-8300 (statcan.infostats-infostats.statcan@canada.ca)."

"Numéro d'identification de la dimension";"Numéro d'identification du membre";"Clé d'attribut";Titre;Étiquette;"Étiquette longue";Valeur


